v1,v2,v16,v17,v18,v19,v20,v21,v22,v23
CA,2005,0,0,1,0,0,1,1,0
KS,2005,0,0,0,0,0,0,0,1
TX,2005,0,1,0,0,0,0,0,1
OH,2005,0,0,0,0,0,3,1,0
WA,2005,0,1,0,0,0,0,0,0
AL,2006,0,0,0,0,0,0,0,1
AZ,2006,0,0,0,0,0,0,0,1
CA,2006,0,0,1,0,0,0,0,0
CO,2006,0,1,0,0,0,1,0,1
ID,2006,0,0,0,0,0,0,0,1
SC,2006,0,0,0,0,0,0,0,2
SD,2006,0,0,0,0,0,0,0,1
TN,2006,0,0,0,0,0,0,0,1
VA,2006,0,0,0,0,0,0,0,1
WI,2006,0,0,0,0,0,0,0,1
OK,2006,0,0,0,0,0,1,0,0
OR,2006,0,0,0,0,0,1,0,0
NH,2006,0,0,0,0,0,1,1,0
LA,2006,0,0,0,0,0,1,0,0
HI,2006,0,1,0,0,0,0,0,0
NE,2006,0,1,0,0,0,0,0,0
DE,2007,0,2,0,0,0,0,0,0
NJ,2007,0,1,0,0,0,0,0,0
TX,2007,0,1,0,0,0,0,0,0
AL,2008,0,2,0,0,0,0,0,0
AR,2008,0,0,0,0,0,1,0,1
CA,2008,0,0,1,0,0,1,1,0
CO,2008,0,0,1,0,0,2,0,0
CT,2008,0,0,0,0,0,1,0,0
FL,2008,0,0,0,0,0,0,0,3
LA,2008,0,0,0,0,0,0,0,1
MD,2008,0,0,0,0,0,1,0,0
NJ,2008,0,1,0,0,0,0,0,0
NM,2008,0,0,0,0,0,2,0,0
OR,2008,0,0,0,0,0,2,0,0
UT,2008,0,0,0,0,0,1,1,0
WY,2008,0,0,0,0,0,1,0,0
AL,2009,0,3,0,0,0,0,0,0
AZ,2009,0,0,0,0,0,1,0,1
CA,2009,0,0,1,0,0,1,1,1
CO,2009,0,0,1,0,0,1,0,0
CT,2009,0,0,0,0,0,1,0,0
FL,2009,0,0,0,0,0,0,0,3
LA,2009,0,0,0,0,0,0,0,1
MD,2009,0,0,0,0,0,1,0,0
NJ,2009,0,1,0,0,0,0,0,0
NM,2009,0,0,0,0,0,2,0,0
OR,2009,0,0,0,0,0,2,0,0
UT,2009,0,0,0,0,0,1,1,0
WY,2009,0,0,0,0,0,1,0,0
CA,2010,0,0,0,0,0,5,1,0
DE,2010,0,1,0,0,0,0,0,0
FL,2010,0,0,0,0,0,3,2,0
HI,2010,0,0,0,0,0,1,0,0
ID,2010,0,0,0,0,0,1,0,0
